Title,Field,Receive_date,Abstract,Link
['Title:Establishing an Evaluation Metric to Quantify Climate Change Image Realism'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  With success on controlled tasks, generative models are being increasinglyapplied to humanitarian applications [1,2]. In this paper, we focus on theevaluation of a conditional generative model that illustrates the consequencesof climate change-induced flooding to encourage public interest and awarenesson the issue. Because metrics for comparing the realism of different modes in aconditional generative model do not exist, we propose several automated andhuman-based methods for evaluation. To do this, we adapt several existingmetrics, and assess the automated metrics against gold standard humanevaluation. We find that using Fréchet Inception Distance (FID) withembeddings from an intermediary Inception-V3 layer that precedes the auxiliaryclassifier produces results most correlated with human realism. Whileinsufficient alone to establish a human-correlated automatic evaluation metric,we believe this work begins to bridge the gap between human and automatedgenerative evaluation procedures.",https://arxiv.org/abs/1910.10143
"['Title:Class Mean Vectors, Self Monitoring and Self Learning for Neural Classifiers']",Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In this paper we explore the role of sample mean in building a neural networkfor classification. This role is surprisingly extensive and includes: directcomputation of weights without training, performance monitoring for sampleswithout known classification, and self-training for unlabeled data.Experimental computation on a CIFAR-10 data set provides promising empiricalevidence on the efficacy of a simple and widely applicable approach to somedifficult problems.",https://arxiv.org/abs/1910.10122
['Title:Mask Combination of Multi-layer Graphs for Global Structure Inference'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Structure inference is an important task for network data processing andanalysis in data science. In recent years, quite a few approaches have beendeveloped to learn the graph structure underlying a set of observationscaptured in a data space. Although real world data is often acquired insettings where relationships are influenced by a priori known rules, thisdomain knowledge is still not well exploited in structure inference problems.In this paper, we identify the structure of signals defined in a data spacewhose inner relationships are encoded by multi-layer graphs. We aim at properlyexploiting the information originating from each layer to infer the globalstructure underlying the signals. We thus present a novel method for combiningthe multiple graphs into a global graph using mask matrices, which areestimated through an optimization problem that accommodates the multi-layergraph information and a signal representation model. The proposed maskcombination method also estimates the contribution of each graph layer in thestructure of signals. The experiments conducted both on synthetic and realworld data suggest that integrating the multi-layer graph representation of thedata in the structure inference framework enhances the learning procedureconsiderably by adapting to the quality and the quantity of the input data",https://arxiv.org/abs/1910.10114
['Title:Improving singing voice separation with the Wave-U-Net using Minimum Hyperspherical Energy'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In recent years, deep learning has surpassed traditional approaches to theproblem of singing voice separation. The Wave-U-Net is a recent deep networkarchitecture that operates directly on the time domain. The standard Wave-U-Netis trained with data augmentation and early stopping to prevent overfitting.Minimum hyperspherical energy (MHE) regularization has recently proven toincrease generalization in image classification problems by encouraging adiversified filter configuration. In this work, we apply MHE regularization tothe 1D filters of the Wave-U-Net. We evaluated this approach for separating thevocal part from mixed music audio recordings on the MUSDB18 dataset. We foundthat adding MHE regularization to the loss function consistently improvessinging voice separation, as measured in the Signal to Distortion Ratio on testrecordings, leading to the current best time-domain system for singing voiceextraction.",https://arxiv.org/abs/1910.10071
['Title:Deep Learning Regression of VLSI Plasma Etch Metrology'],Machine Learning ,(Submitted on 10 Sep 2019),"Abstract:  In computer chip manufacturing, the study of etch patterns on silicon wafers,or metrology, occurs on the nano-scale and is therefore subject to largevariation from small, yet significant, perturbations in the manufacturingenvironment. An enormous amount of information can be gathered from a singleetch process, a sequence of actions taken to produce an etched wafer from ablank piece of silicon. Each final wafer, however, is costly to takemeasurements from, which limits the number of examples available to train apredictive model. Part of the significance of this work is the success we sawfrom the models despite the limited number of examples. In order to accommodatethe high dimensional process signatures, we isolated important sensor variablesand applied domain-specific summarization on the data using multiple featureengineering techniques. We used a neural network architecture consisting of thesummarized inputs, a single hidden layer of 4032 units, and an output layer ofone unit. Two different models were learned, corresponding to the metrologymeasurements in the dataset, Recess and Remaining Mask. The outputs are relatedabstractly and do not form a two dimensional space, thus two separate modelswere learned. Our results approach the error tolerance of the microscopicimaging system. The model can make predictions for a class of etch recipes thatinclude the correct number of etch steps and plasma reactors with theappropriate sensors, which are chambers containing an ionized gas thatdetermine the manufacture environment. Notably, this method is not restrictedto some maximum process length due to the summarization techniques used. Thisallows the method to be adapted to new processes that satisfy theaforementioned requirements. In order to automate semiconductor manufacturing,models like these will be needed throughout the process to evaluate productionquality.",https://arxiv.org/abs/1910.10067
['Title:Adversarial Example Detection by Classification for Deep Speech Recognition'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Machine Learning systems are vulnerable to adversarial attacks and willhighly likely produce incorrect outputs under these attacks. There arewhite-box and black-box attacks regarding to adversary's access level to thevictim learning algorithm. To defend the learning systems from these attacks,existing methods in the speech domain focus on modifying input signals andtesting the behaviours of speech recognizers. We, however, formulate thedefense as a classification problem and present a strategy for systematicallygenerating adversarial example datasets: one for white-box attacks and one forblack-box attacks, containing both adversarial and normal examples. Thewhite-box attack is a gradient-based method on Baidu DeepSpeech with theMozilla Common Voice database while the black-box attack is a gradient-freemethod on a deep model-based keyword spotting system with the Google SpeechCommand dataset. The generated datasets are used to train a proposedConvolutional Neural Network (CNN), together with cepstral features, to detectadversarial examples. Experimental results show that, it is possible toaccurately distinct between adversarial and normal examples for known attacks,in both single-condition and multi-condition training settings, while theperformance degrades dramatically for unknown attacks. The adversarial datasetsand the source code are made publicly available.",https://arxiv.org/abs/1910.10013
['Title:Toward Automated Website Classification by Deep Learning'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In recent years, the interest in Big Data sources has been steadily growingwithin the Official Statistic community. The Italian National Institute ofStatistics (Istat) is currently carrying out several Big Data pilot studies.One of these studies, the ICT Big Data pilot, aims at exploiting massiveamounts of textual data automatically scraped from the websites of Italianenterprises in order to predict a set of target variables (e.g. e-commerce)that are routinely observed by the traditional ICT Survey. In this paper, weshow that Deep Learning techniques can successfully address this problem.Essentially, we tackle a text classification task: an algorithm must learn toinfer whether an Italian enterprise performs e-commerce from the textualcontent of its website. To reach this goal, we developed a sophisticatedprocessing pipeline and evaluated its performance through extensiveexperiments. Our pipeline uses Convolutional Neural Networks and relies on WordEmbeddings to encode raw texts into grayscale images (i.e. normalized numericmatrices). Web-scraped texts are huge and have very low signal to noise ratio:to overcome these issues, we adopted a framework known as False PositiveReduction, which has seldom (if ever) been applied before to textclassification tasks. Several original contributions enable our processingpipeline to reach good classification results. Empirical evidence shows thatour proposal outperforms all the alternative Machine Learning solutions alreadytested in Istat for the same task.",https://arxiv.org/abs/1910.09991
['Title:Abnormal Client Behavior Detection in Federated Learning'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  In federated learning systems, clients are autonomous in that their behaviorsare not fully governed by the server. Consequently, a client may intentionallyor unintentionally deviate from the prescribed course of federated modeltraining, resulting in abnormal behaviors, such as turning into a maliciousattacker or a malfunctioning client. Timely detecting those anomalous clientsis therefore critical to minimize their adverse impacts. In this work, wepropose to detect anomalous clients at the server side. In particular, wegenerate low-dimensional surrogates of model weight vectors and use them toperform anomaly detection. We evaluate our solution through experiments onimage classification model training over the FEMNIST dataset. Experimentalresults show that the proposed detection-based approach significantlyoutperforms the conventional defense-based methods.",https://arxiv.org/abs/1910.09933
['Title:Neural Network Training with Approximate Logarithmic Computations'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  The high computational complexity associated with training deep neuralnetworks limits online and real-time training on edge devices. This paperproposed an end-to-end training and inference scheme that eliminatesmultiplications by approximate operations in the log-domain which has thepotential to significantly reduce implementation complexity. We implement theentire training procedure in the log-domain, with fixed-point datarepresentations. This training procedure is inspired by hardware-friendlyapproximations of log-domain addition which are based on look-up tables andbit-shifts. We show that our 16-bit log-based training can achieveclassification accuracy within approximately 1% of the equivalentfloating-point baselines for a number of commonly used datasets.",https://arxiv.org/abs/1910.09876
['Title:A Prototypical Triplet Loss for Cover Detection'],Machine Learning ,(Submitted on 22 Oct 2019),"Abstract:  Automatic cover detection -- the task of finding in a audio dataset allcovers of a query track -- has long been a challenging theoretical problem inMIR community. It also became a practical need for music composers societiesrequiring to detect automatically if an audio excerpt embeds musical contentbelonging to their catalog.In a recent work, we addressed this problem with a convolutional neuralnetwork mapping each track's dominant melody to an embedding vector, andtrained to minimize cover pairs distance in the embeddings space, whilemaximizing it for non-covers. We showed in particular that training this modelwith enough works having five or more covers yields state-of-the-art results.This however does not reflect the realistic use case, where music catalogstypically contain works with zero or at most one or two covers. We thusintroduce here a new test set incorporating these constraints, and propose twocontributions to improve our model's accuracy under these stricter conditions:we replace dominant melody with multi-pitch representation as input data, anddescribe a novel prototypical triplet loss designed to improve coversclustering. We show that these changes improve results significantly for twoconcrete use cases, large dataset lookup and live songs identification.",https://arxiv.org/abs/1910.09862
